Probability,Correct
0.9148936170212766,True
0.9574468085106383,True
0.3829787234042553,False
0.6808510638297872,False
0.5319148936170213,True
1.0,True
0.8723404255319149,True
0.8297872340425532,True
1.0,True
1.0,True
1.0,True
0.8936170212765957,True
0.8085106382978723,False
0.6382978723404256,True
0.6595744680851063,True
0.6382978723404256,True
0.5106382978723404,False
0.8723404255319149,True
0.8936170212765957,True
0.8723404255319149,True
0.6808510638297872,True
0.5531914893617021,False
0.7872340425531915,False
0.5531914893617021,True
0.44680851063829785,False
0.3191489361702128,False
0.5531914893617021,True
0.7021276595744681,True
0.8085106382978723,False
0.574468085106383,False
0.5319148936170213,True
0.9574468085106383,True
0.5957446808510638,True
1.0,True
0.7659574468085106,True
0.9574468085106383,True
0.9787234042553191,True
0.5106382978723404,False
0.5319148936170213,False
0.44680851063829785,False
0.5319148936170213,False
0.574468085106383,True
0.9148936170212766,True
0.40425531914893614,False
0.8936170212765957,True
0.7872340425531915,True
1.0,False
0.7872340425531915,False
